93312,2,1,7,7,811,3218,1721,1277,2297,0,2,3,4,3,3,0,1,2,4,2,4,4,1,1,3,3,2,3,3,1,2,2
839808,2,2,7,7,1247,4040,1457,4915,2524,2,1,2,2,2,2,0,0,2,4,1,3,3,0,1,3,4,1,3,0,0,3,0
373248,0,3,7,7,1297,3148,1373,871,3965,4,0,1,2,4,0,3,1,3,3,2,3,4,1,1,3,3,0,0,4,2,2,0
279936,1,3,7,7,1097,4954,4730,2524,2357,2,0,1,4,1,4,0,1,2,4,1,2,3,3,0,1,3,1,1,4,2,2,1
746496,1,2,7,7,1277,3560,988,4195,2932,4,0,1,0,0,0,2,2,2,4,1,2,3,0,1,3,4,3,3,0,1,3,1
139968,1,2,7,7,1238,3244,2297,3457,2261,4,2,2,2,2,2,0,0,0,2,1,2,4,3,0,1,3,3,3,0,3,4,3
559872,0,2,7,7,3835,2569,2645,4805,115,4,0,4,0,4,4,0,1,1,1,1,2,2,3,0,1,3,0,2,0,3,4,0
497664,1,2,7,7,3469,1124,1061,2714,2957,4,1,1,1,1,1,2,0,1,3,2,3,2,0,1,3,4,0,4,3,0,2,1
373248,1,3,7,7,3017,2678,2857,3124,785,4,0,1,4,0,1,0,3,3,1,1,2,1,0,1,3,4,1,2,1,2,2,2
629856,0,1,7,7,4805,3089,1577,2714,977,2,2,4,4,4,4,1,2,2,4,1,3,3,3,0,1,3,1,1,3,0,1,0
