49444586158856.6,2,1,7,7,3113,91,65,3052,257,2,4,4,4,4,4,0,2,3,0,2,2,2,0,4,0,3,3,2,3,0,2,2,0,0
103061894750532.4,1,1,7,7,437,3052,1012,1061,91,0,4,4,4,4,4,1,2,3,2,2,2,2,1,3,1,2,3,0,2,1,2,1,0,3
48787765827541.4,2,1,7,7,2381,2897,65,2558,257,2,4,4,4,4,4,0,2,3,0,2,2,2,3,4,0,3,3,2,3,1,2,2,3,0
70407939507211.47,3,1,7,7,3244,3052,754,2863,91,2,4,4,4,4,4,1,2,3,4,2,3,3,0,3,0,1,2,0,2,1,2,2,3,3
45925492318352.18,2,1,7,7,3052,2177,4502,2957,377,3,4,4,4,4,4,0,2,0,2,0,2,0,1,1,0,1,2,0,4,2,3,2,3,2
94598456197408.36,2,1,7,7,490,3017,1373,2897,91,0,4,4,4,4,4,0,1,2,4,1,2,1,0,0,2,2,2,1,3,0,1,3,0,2
73035213068913.86,2,1,7,7,250,4829,4118,811,377,0,4,4,4,4,4,0,1,2,3,1,3,3,2,2,0,2,0,2,4,0,1,2,2,1
49879242562107.805,2,1,7,7,4109,2177,412,1373,377,2,4,4,4,4,4,0,2,3,2,3,2,2,1,2,3,3,3,0,4,0,2,2,0,3
65539745867582.664,1,1,7,7,811,2765,1097,4034,377,0,4,4,4,4,4,0,2,0,2,0,2,2,1,1,1,3,3,3,4,2,2,2,3,1
42109548093584.18,2,1,7,7,835,3244,1253,3017,377,0,4,4,4,4,4,0,2,3,0,2,3,2,1,1,2,2,2,1,4,3,3,3,2,0
