12857963838780.21,2,1,7,7,1097,2540,2645,811,91,0,1,2,4,2,4,4,4,4,0,1,2,3,4,0,2,3,2,1,2,1,0,2,1
12857963838780.21,2,1,7,7,1097,2540,2645,811,91,0,1,2,4,2,4,4,4,4,0,1,2,3,4,0,2,3,2,1,2,1,0,2,1
21464932706471.113,2,1,7,7,4085,3017,2297,2789,91,2,4,2,4,2,4,2,4,4,1,2,3,4,2,3,3,3,3,3,2,1,0,0,3
7750783240239.514,2,1,7,7,4493,3619,377,2897,257,2,4,2,4,2,4,2,4,4,0,2,0,2,0,2,0,2,2,4,0,2,3,1,0
81302922299650.86,1,1,7,7,2903,257,2297,557,91,0,1,2,3,4,4,4,4,4,0,2,3,0,2,3,2,3,2,1,2,3,0,3,0
21464932706471.113,2,1,7,7,4085,3017,2297,2789,91,2,4,2,4,2,4,2,4,4,1,2,3,4,2,3,3,3,3,3,2,1,0,0,3
9750814137837.158,2,1,7,7,4805,1012,257,1219,91,0,2,4,0,2,4,4,4,4,1,2,3,4,1,2,2,2,2,1,2,1,0,3,0
19671297106496.715,1,1,7,7,1181,977,761,499,91,2,3,4,2,3,4,4,4,4,0,1,2,1,2,1,2,2,2,1,2,0,0,3,0
27230242522949.223,2,1,7,7,754,91,47,1219,91,0,2,4,0,4,0,4,4,4,0,2,3,2,3,2,3,2,3,0,2,0,0,3,2
56836621582781.64,2,1,7,7,2897,1097,3653,4339,91,0,2,4,0,2,4,4,4,4,0,1,2,0,1,0,1,0,1,2,2,0,1,2,3
