195923754750600.8,2,1,7,7,977,1382,65,2645,377,2,4,4,4,4,4,0,1,2,2,2,2,0,1,3,0,3,0,1,2,4,1,2,2,3,1
124708762293475.73,1,1,7,7,3434,3244,1061,2932,377,3,4,4,4,4,4,2,3,2,2,2,2,0,1,3,2,3,2,0,1,4,3,3,3,0,2
252886204844487.47,2,1,7,7,3443,1097,2212,91,91,2,4,4,4,4,4,0,1,4,1,1,1,2,2,2,0,0,0,0,1,0,2,2,2,0,0
138462116423757.0,1,1,7,7,2548,4085,767,2524,377,2,4,4,4,4,4,0,2,2,2,2,2,2,3,2,0,3,3,0,1,4,3,3,3,1,2
406967611832244.6,2,1,7,7,3244,2390,1132,2645,91,3,4,4,4,4,4,1,2,4,1,1,1,0,1,2,2,3,2,0,1,1,1,2,2,3,1
275758967695815.44,1,1,7,7,2897,2669,1373,292,91,3,4,4,4,4,4,1,2,2,2,2,2,1,3,1,1,2,2,3,3,3,0,3,0,1,2
298753825765530.0,2,1,7,7,2548,91,2890,4075,377,2,4,4,4,4,4,0,2,0,2,2,2,0,2,3,0,3,3,0,2,4,0,2,3,3,3
193605563975919.22,1,1,7,7,2645,1132,3052,4373,257,3,4,4,4,4,4,1,2,1,2,2,2,0,2,4,0,1,3,1,2,1,1,2,2,0,3
134249341172109.55,2,1,7,6,377,3338,1012,1219,377,0,4,4,4,4,4,2,3,2,3,2,2,1,2,1,1,1,1,0,1,4,2,2,2,3,1
616284954882765.6,2,1,7,7,3434,2297,983,3268,257,2,4,4,4,4,4,1,2,3,2,3,2,2,4,2,0,1,3,0,3,3,0,0,0,0,2
