266170717591624.62,1,1,7,6,2897,257,2332,1190,91,1,3,4,4,4,4,4,1,2,3,2,3,2,2,1,3,2,2,2,0,2,0,3,3,1,3
221162576824133.22,1,1,7,7,1339,2524,2932,1277,91,1,2,4,4,4,4,4,0,3,4,3,3,3,3,1,1,1,2,2,1,3,2,2,2,3,0
267954402180346.7,2,1,7,7,4805,2332,41,1097,91,2,4,2,4,4,4,4,1,2,3,4,2,3,3,1,1,1,2,2,0,3,0,1,0,2,0
263163479237473.06,2,1,7,7,2524,2789,58,3619,91,2,3,4,4,4,4,4,1,2,1,2,1,2,2,0,1,0,2,0,0,0,0,2,2,3,1
328745362141952.4,2,1,7,7,4805,1097,2177,2366,91,2,4,2,4,4,4,4,1,2,3,2,2,2,2,2,3,2,3,3,1,3,0,3,3,3,0
285231860450338.4,3,1,7,7,3052,3052,3653,2897,91,2,4,2,4,4,4,4,0,1,2,4,1,2,2,1,2,0,1,1,1,3,0,3,0,2,2
195324893264520.8,2,1,7,7,499,1406,1012,2548,257,0,2,4,4,4,4,4,1,2,3,1,2,2,2,2,4,1,3,3,3,3,1,2,2,0,1
274548380507386.7,2,1,7,7,4880,91,3782,2524,377,1,4,1,4,4,4,4,0,1,2,0,2,0,2,2,3,0,2,3,0,4,0,2,3,2,0
421067094887168.4,3,1,7,7,3268,3244,3485,1277,91,2,4,2,4,4,4,4,0,2,3,4,2,2,2,1,1,0,1,1,0,2,1,3,1,3,2
281863515774202.7,3,1,7,7,3244,3052,754,2275,91,2,3,4,4,4,4,4,1,2,3,4,2,3,3,0,3,0,1,2,0,2,1,2,2,3,3
