33866497847564.695,1,1,7,7,5,5,4,4,2,0,2,4,0,4,4,4,4,0,0,2,3,0,2,0,2,2,0,0,1,2,3,1,2,2,2,1
33378056158681.492,1,2,7,7,5,3,6,6,3,0,1,4,0,1,4,0,4,1,2,3,4,2,3,2,2,2,1,2,3,2,3,2,3,2,2,0
145234825167922.78,1,2,7,7,5,1,4,6,2,0,1,4,1,4,1,4,1,0,0,2,3,4,2,3,2,3,1,0,2,3,4,2,3,4,2,0
54924703938537.06,1,3,7,7,3,5,4,2,2,2,3,4,2,3,3,3,3,1,0,2,4,0,2,0,0,0,2,1,2,4,1,4,1,4,1,2
125912577709021.56,1,2,7,7,5,4,6,3,2,0,1,3,4,0,1,0,1,3,1,2,3,1,2,3,2,2,3,0,1,2,4,2,4,4,4,2
75548048915378.98,1,2,7,7,2,4,1,3,5,1,2,3,4,2,4,2,4,1,1,2,3,2,3,2,2,2,1,1,3,4,1,3,4,1,3,3
31116611751719.73,2,2,7,7,4,1,5,3,5,1,2,3,4,2,3,4,4,2,0,1,2,3,4,2,2,2,0,0,2,3,0,3,0,3,3,4
132570985492434.12,1,2,7,7,3,4,3,5,4,2,3,4,2,3,3,3,3,3,0,1,4,0,4,0,0,0,2,1,2,3,4,3,4,3,4,2
56154862578460.25,1,1,7,7,3,2,5,4,3,1,2,1,2,1,2,1,1,2,0,3,4,3,4,4,4,4,3,1,2,3,1,2,1,1,1,2
101164902277290.38,1,2,7,7,5,4,3,3,2,0,4,0,4,0,4,0,4,2,0,1,2,3,0,2,3,2,3,0,1,2,4,0,1,2,2,1
41030711757294.8,1,2,7,7,5,2,6,1,1,0,1,3,4,0,3,4,3,2,0,2,3,4,0,2,4,4,0,1,2,1,2,1,2,2,2,0
